Name,Height,Weight,Position,OVR,Preferred foot,Weak foot,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Free Kick Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Def Awareness,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
Ilias Akhomach Chakkour,175,70,"['Delantero', 'Mediocampista']",73,Left,4,71,74,38,72,50,77,60,63,57,75,75,74,75,63,69,66,56,64,55,74,51,23,68,67,59,58,25,30,35,6,12,9,6.0,12.0
Leonardo Filipe Cruz Lelo,175,70,"['Mediocampista', 'Defensor']",73,Left,3,67,53,56,65,40,72,57,43,59,72,83,82,76,74,75,50,73,90,61,56,67,68,72,68,48,73,68,69,65,12,11,7,6.0,9.0
Jens Stryger Larsen,180,82,"['Mediocampista', 'Defensor']",73,Right,3,72,58,60,70,60,72,61,48,69,74,74,74,71,72,72,69,76,80,74,56,74,69,67,67,50,65,71,71,69,7,8,12,7.0,9.0
João Rafael de Brito Teixeira,178,66,"['Delantero', 'Mediocampista']",73,Right,3,69,64,50,76,49,78,77,78,69,75,76,76,74,75,70,73,69,58,67,77,71,64,67,81,68,76,61,65,58,15,11,10,7.0,7.0
Nahuel Lautaro Bustos,176,64,"['Delantero', 'Mediocampista']",73,Right,3,65,74,63,71,63,75,73,68,60,73,80,82,82,73,86,76,77,76,68,72,62,27,75,63,71,75,33,29,31,11,14,10,14.0,12.0
Youcef Atal,175,64,"['Delantero', 'Defensor']",73,Right,5,71,69,58,73,66,77,70,54,64,75,87,86,79,70,79,69,76,61,64,60,75,72,72,71,59,73,70,68,70,11,12,8,9.0,7.0
Jakub Pešek,174,67,"['Delantero', 'Mediocampista']",73,Right,3,73,67,44,68,57,74,64,68,64,74,87,86,88,65,83,70,53,65,38,67,41,25,71,70,60,69,30,23,24,12,9,7,14.0,8.0
Luis Henrique Tomaz de Lima,181,78,"['Delantero', 'Mediocampista']",73,Right,3,76,64,67,74,59,76,63,52,63,72,84,82,71,59,64,76,85,70,78,69,58,24,69,73,63,67,40,34,31,9,5,7,10.0,15.0
Knowledge Musona,177,71,"['Delantero', 'Mediocampista']",73,Right,4,73,71,63,74,68,70,75,74,71,76,73,70,75,73,79,71,77,84,74,69,70,44,74,73,72,72,28,46,45,6,7,8,15.0,12.0
Gabriel Hernán Rojas,173,73,"['Mediocampista', 'Defensor']",73,Left,3,76,55,53,70,58,72,77,62,67,73,83,83,82,70,77,70,72,82,64,62,73,67,73,61,51,70,66,67,69,7,6,13,9.0,9.0
Issa Kaboré,180,72,"['Mediocampista', 'Defensor']",73,Right,3,68,36,59,69,22,70,52,29,60,71,87,87,79,74,72,42,80,73,73,44,76,65,63,63,24,70,64,67,72,10,8,9,14.0,13.0
Andrés Felipe Roa Estrada,175,67,"['Delantero', 'Mediocampista']",73,Right,3,72,65,60,73,44,78,80,73,65,74,74,76,78,68,79,72,68,66,56,69,72,52,72,73,59,75,49,59,47,16,6,14,9.0,10.0
Yassine Benrahou,172,68,"['Delantero', 'Mediocampista']",73,Left,3,72,64,46,75,59,77,79,73,67,79,73,71,87,70,89,71,61,65,57,70,42,33,66,74,69,70,44,43,47,10,13,8,11.0,14.0
Emil Alfons Holm,191,83,"['Mediocampista', 'Defensor']",73,Right,3,70,57,63,68,52,69,60,40,54,71,82,88,57,70,59,69,87,88,87,60,75,60,70,60,58,58,62,69,70,7,12,11,5.0,9.0
Mama Samba Baldé,176,69,"['Delantero', 'Mediocampista']",73,Right,3,68,71,73,67,67,72,73,49,59,69,83,87,80,72,75,77,89,76,76,67,73,47,72,65,67,66,41,52,48,6,12,13,13.0,6.0
Thomas Murg,174,70,"['Delantero', 'Mediocampista']",73,Left,4,72,71,39,73,65,73,74,74,71,74,81,78,80,70,84,72,64,70,66,72,52,43,69,68,59,68,45,46,40,14,12,12,14.0,6.0
Erhan Mašović,189,82,"['Mediocampista', 'Defensor']",73,Right,3,22,35,73,68,28,49,27,24,60,62,64,74,58,67,55,42,78,66,73,26,70,73,23,48,31,67,76,77,75,5,5,8,13.0,5.0
Ilie Sánchez Farrés,180,75,"['Defensor', 'Mediocampista']",73,Right,3,49,45,68,76,38,64,51,49,74,74,50,43,72,74,69,49,70,86,75,57,72,70,52,66,69,69,70,68,64,6,16,16,12.0,11.0
Mohamed Fouzair,170,70,"['Delantero', 'Mediocampista']",73,Right,5,69,65,34,71,61,75,68,67,66,74,85,72,89,69,86,64,56,86,64,68,75,45,65,68,67,73,45,65,41,12,9,6,15.0,13.0
Janner Hitcler Corozo Alman,176,63,"['Delantero', 'Mediocampista']",73,Right,4,64,66,52,68,52,78,57,61,64,69,84,84,84,69,72,67,71,81,63,65,50,51,71,68,62,65,44,57,51,13,9,15,10.0,8.0
Emir Sahiti,174,65,"['Delantero', 'Mediocampista']",73,Right,4,70,71,52,65,62,75,71,62,64,73,84,84,86,71,86,75,68,74,56,70,78,34,71,65,59,63,43,42,37,14,12,14,13.0,5.0
Batista Mendy,191,82,"['Defensor', 'Mediocampista']",73,Right,3,58,48,72,74,58,67,64,42,70,72,54,68,60,73,48,74,81,74,87,64,69,70,53,61,56,75,72,76,71,8,12,6,6.0,13.0
Haji Wright,191,90,"['Delantero', 'Mediocampista']",73,Right,4,52,73,73,59,56,69,51,52,41,69,73,89,65,68,42,78,81,73,87,65,71,22,73,61,75,63,29,20,18,5,15,12,8.0,9.0
Luca Nicolás Orellano,170,66,"['Delantero', 'Mediocampista']",73,Left,3,66,65,49,67,66,78,68,70,55,77,91,90,90,64,87,78,68,73,56,72,49,27,65,55,52,67,29,35,39,10,13,7,13.0,11.0
Ilias Chair,171,64,"['Delantero', 'Mediocampista']",73,Right,2,65,64,40,73,57,78,67,64,67,74,81,77,88,70,91,74,51,74,41,68,38,27,69,73,52,75,34,34,22,11,15,10,6.0,13.0
Jaroslav Zelený,190,83,"['Defensor', 'Mediocampista']",73,Left,3,72,62,76,75,61,74,51,61,68,73,72,75,68,73,57,66,87,74,78,63,68,71,67,68,51,75,70,70,68,11,7,11,11.0,13.0
Lorenzo António Melgarejo Sanabria,178,75,"['Delantero', 'Mediocampista']",73,Left,3,70,73,75,65,70,77,75,45,63,75,82,83,78,66,77,79,83,76,65,64,65,57,73,64,65,75,41,62,60,6,10,12,15.0,9.0
Christ-Emmanuel Faitout Maouassa,170,77,"['Mediocampista', 'Defensor']",73,Left,2,74,59,61,71,53,74,75,67,70,74,81,74,78,70,85,77,82,71,76,71,72,65,67,69,44,72,70,72,73,14,8,5,6.0,9.0
Allan Roméo Nyom,189,80,"['Mediocampista', 'Defensor']",73,Right,3,69,52,67,69,44,70,71,47,69,70,79,80,48,69,38,74,87,80,88,66,86,70,75,73,37,67,69,70,69,12,8,9,9.0,14.0
Matthias Bader,176,73,"['Mediocampista', 'Defensor']",73,Right,3,70,40,48,71,31,67,58,36,54,71,74,66,76,70,77,45,64,86,62,41,68,68,49,50,40,67,70,71,70,10,13,15,7.0,7.0
Maghnes Akliouche,183,63,"['Delantero', 'Mediocampista']",73,Left,3,66,67,46,73,57,78,70,59,67,76,74,74,79,69,75,64,61,57,58,66,51,41,67,74,57,74,42,49,44,8,10,9,5.0,8.0
Amath Ndiaye Diedhiou,173,70,"['Delantero', 'Mediocampista']",73,Right,4,64,70,65,70,72,77,69,65,61,72,93,89,82,65,72,75,80,58,62,60,73,41,69,66,56,74,41,58,42,6,7,14,8.0,9.0
Fernando Calero Villa,183,71,"['Mediocampista', 'Defensor']",73,Right,4,59,37,73,71,44,62,60,38,71,68,64,62,67,73,65,58,78,58,73,34,72,73,50,64,40,64,73,73,73,11,13,7,14.0,7.0
Julian Justvan,178,65,"['Defensor', 'Mediocampista']",73,Left,3,64,58,46,75,46,74,67,61,68,73,82,85,86,72,83,66,55,74,40,62,56,56,68,75,43,59,55,52,51,12,10,15,9.0,9.0
Christian Alberto Cueva Bravo,168,61,"['Delantero', 'Mediocampista']",73,Right,4,70,70,51,74,53,74,73,76,69,77,80,64,85,67,85,70,64,69,54,70,52,50,72,74,71,71,45,32,31,8,10,7,10.0,11.0
Tim Skarke,181,79,"['Delantero', 'Mediocampista']",73,Right,3,68,70,46,67,64,75,64,49,56,74,86,84,78,69,79,76,61,77,48,73,44,47,71,58,47,67,45,49,43,7,14,11,13.0,8.0
Maximilian Wittek,173,68,"['Mediocampista', 'Defensor']",73,Left,3,77,61,58,68,70,71,78,78,63,70,77,77,79,71,85,80,73,79,68,71,77,66,71,58,52,72,65,68,71,15,12,12,13.0,7.0
Emmanuel Bonaventure Dennis,175,67,"['Delantero', 'Mediocampista']",73,Right,3,67,76,75,65,69,75,62,62,58,74,84,85,87,76,78,81,85,67,70,68,68,13,72,56,56,69,38,45,27,13,7,11,11.0,13.0
Fashion Sakala Junior,178,72,"['Delantero', 'Mediocampista']",73,Right,3,61,76,70,65,58,72,58,55,51,69,93,89,86,72,73,78,89,81,61,69,54,35,73,62,60,63,20,29,28,12,7,11,11.0,13.0
Pedro Miguel Almeida Lopes Pereira,185,72,"['Mediocampista', 'Defensor']",73,Right,2,68,35,66,70,37,70,57,35,66,72,73,77,76,70,74,44,72,79,61,34,61,67,68,63,48,71,65,74,72,10,6,9,11.0,12.0
Ola Selvaag Solbakken,189,82,"['Delantero', 'Mediocampista']",73,Left,4,40,70,51,72,66,50,60,74,80,82,82,65,71,68,64,83,66,65,58,44,74,66,61,66,39,32,28,9,12,13,7,11,0.0,0.0
Alexandru Ionuț Mitriță,165,68,"['Delantero', 'Mediocampista']",73,Right,5,65,68,31,69,65,75,74,72,59,75,87,80,90,72,87,73,60,68,57,68,57,22,68,69,57,67,32,21,27,7,15,5,6.0,11.0
Niels Patrick Nkounkou,180,77,"['Mediocampista', 'Defensor']",73,Left,2,73,42,55,70,28,72,67,31,68,73,79,79,75,67,73,54,76,80,74,42,61,65,57,61,37,63,68,67,63,11,10,14,7.0,15.0
Mame Baba Thiam,185,79,"['Delantero', 'Mediocampista']",73,Right,3,65,74,75,66,68,73,64,53,56,72,72,76,74,67,64,73,77,66,77,68,64,16,76,72,73,71,26,20,22,11,9,7,15.0,14.0
Jacob Bruun Larsen,183,77,"['Delantero', 'Mediocampista']",73,Right,4,67,72,58,72,68,73,73,70,67,74,84,83,76,72,75,82,76,60,68,66,68,59,73,66,62,66,56,54,44,14,6,11,11.0,11.0
Jhon Fredy Salazar Valencia,178,70,"['Delantero', 'Mediocampista']",73,Right,3,69,72,51,70,65,73,67,78,68,70,89,88,90,65,70,70,75,90,70,71,60,31,71,70,64,64,50,40,40,11,13,12,9.0,16.0
Aleksandar Sedlar,180,79,"['Mediocampista', 'Defensor']",73,Right,3,33,50,69,68,25,34,24,22,56,62,52,41,69,75,66,49,73,74,80,26,76,74,25,47,68,63,75,74,72,14,9,12,12.0,5.0
Isaac Carcelén Valencia,174,70,"['Mediocampista', 'Defensor']",73,Right,3,74,47,62,73,56,69,71,76,59,70,75,74,69,60,73,69,69,88,56,69,75,70,69,59,69,62,69,70,67,9,11,11,10.0,7.0
Largie Ramazani,167,55,"['Delantero', 'Mediocampista']",73,Right,4,67,70,41,66,58,77,56,52,62,75,88,87,89,68,91,67,61,60,53,59,62,35,71,65,68,65,30,34,30,7,10,13,5.0,11.0
坂元 達裕 Tatsuhiro Sakamoto,170,63,"['Defensor', 'Mediocampista']",73,Left,4,73,64,43,69,62,76,69,68,65,73,85,77,81,66,88,64,57,85,45,65,65,61,67,68,52,69,59,61,59,12,7,12,7.0,10.0
David Doudera,175,66,"['Defensor', 'Mediocampista']",73,Right,2,74,68,58,67,54,69,52,48,63,70,88,89,84,68,74,63,70,85,52,57,71,66,73,57,45,56,62,67,69,15,15,8,11.0,9.0
Gastón Alberto Togni,180,76,"['Defensor', 'Delantero', 'Mediocampista']",73,Left,3,74,70,63,71,55,71,67,55,69,72,78,78,76,73,72,74,78,69,71,75,68,61,72,73,64,70,59,67,63,8,8,11,13.0,9.0
Valentín Barco,172,68,"['Defensor', 'Mediocampista']",73,Left,3,71,42,50,77,30,77,75,60,72,75,76,76,82,73,78,44,59,70,48,52,70,65,73,72,67,72,68,68,68,12,10,9,6.0,12.0
Firas Tariq Nasser Al-Buraikan,185,79,"['Delantero', 'Mediocampista']",73,Left,3,45,79,73,61,68,66,40,34,43,70,69,82,69,74,63,68,80,87,73,56,45,22,80,53,68,75,28,24,29,8,10,7,5.0,6.0
Daniele Casiraghi,175,73,"['Delantero', 'Mediocampista']",73,Right,3,72,67,49,74,67,74,74,73,67,73,77,73,67,63,73,71,69,80,70,72,62,48,68,73,79,71,50,51,52,14,10,14,9.0,8.0
Dániel Sallói,185,68,"['Delantero', 'Mediocampista']",73,Right,4,72,72,60,70,68,73,69,55,63,75,76,75,72,73,67,76,74,79,66,74,68,27,74,71,69,73,38,30,28,11,6,6,8.0,9.0
Jaidon Anthony,183,72,"['Delantero', 'Mediocampista']",73,Right,3,72,70,52,68,61,76,72,61,60,75,75,79,71,66,71,63,67,71,64,64,48,29,67,72,65,73,38,48,24,8,9,7,13.0,15.0
Márcio Anderson Tramontino Sá,175,71,"['Mediocampista', 'Defensor']",73,Right,3,76,45,69,74,55,61,61,62,71,72,63,68,75,71,76,53,67,64,59,51,54,59,51,61,63,64,74,77,75,14,8,7,8.0,7.0
Tomás José Conechny,176,65,"['Delantero', 'Mediocampista']",73,Left,3,65,73,76,67,68,76,48,47,63,74,88,86,89,65,85,70,88,76,50,71,49,23,67,66,62,57,24,32,30,10,8,14,8.0,8.0
Nicolai Vallys,189,82,"['Delantero', 'Mediocampista']",73,Right,4,70,72,62,74,57,73,56,53,69,74,82,80,80,72,82,67,81,90,74,62,63,35,72,75,56,70,35,35,35,12,8,8,10.0,14.0
Thomas Nicolas Silva Rangel,177,73,"['Mediocampista', 'Defensor']",73,Right,3,77,46,75,69,42,53,43,68,63,76,72,60,64,71,72,65,78,77,64,64,72,65,51,45,63,68,72,66,76,7,8,10,12.0,7.0
Dorukhan Toköz,180,75,"['Defensor', 'Mediocampista']",73,Right,3,66,63,68,75,64,72,69,52,74,75,72,71,71,73,74,78,70,73,72,72,78,74,70,72,50,76,73,74,76,8,10,10,15.0,12.0
Arnaud Dominique Nordin,170,69,"['Delantero', 'Mediocampista']",73,Left,4,68,72,67,72,52,76,69,50,69,75,82,82,75,69,81,74,78,54,65,70,31,34,71,71,55,68,37,32,26,14,6,13,10.0,13.0
Abdallah Dipo Sima,188,74,"['Delantero', 'Mediocampista']",73,Right,4,68,76,75,67,71,74,68,51,60,68,85,92,75,72,69,77,88,74,74,67,62,35,70,68,61,70,37,38,40,9,8,8,7.0,12.0
Ignatius Kpene Ganago,176,78,"['Delantero', 'Mediocampista']",73,Right,3,62,74,65,67,60,74,59,56,54,74,79,82,77,67,79,79,81,66,75,69,49,45,71,56,66,70,39,17,14,9,10,8,8.0,13.0
Óscar Plano Pedreño,180,75,"['Delantero', 'Mediocampista']",73,Left,4,71,68,68,69,61,70,79,64,63,72,80,84,82,67,74,79,81,79,72,68,70,60,71,71,66,69,51,58,45,8,14,16,8.0,13.0
Håkon Evjen,178,68,"['Delantero', 'Mediocampista']",73,Left,2,70,62,39,68,57,75,73,54,63,74,89,83,92,68,75,61,61,86,54,65,58,48,70,68,52,68,59,63,55,11,13,7,14.0,12.0
Nery Andrés Domínguez,183,71,"['Mediocampista', 'Defensor']",73,Right,3,59,58,72,77,43,65,55,57,75,71,56,58,67,70,65,76,78,64,80,60,61,72,55,74,55,73,74,74,73,15,13,12,11.0,16.0
Federico Gastón Carrizo,169,62,"['Delantero', 'Mediocampista']",73,Right,4,69,70,52,71,62,75,69,70,64,73,83,83,84,70,81,74,71,73,63,73,55,58,68,75,69,71,58,31,27,8,6,7,9.0,7.0
Moussa Djenepo,177,65,"['Defensor', 'Mediocampista']",73,Right,3,67,65,42,69,65,82,67,59,59,77,80,78,88,69,81,75,63,63,62,69,64,38,72,69,60,67,37,42,36,12,9,9,14.0,10.0
Mohamed El Amine Amoura,170,61,"['Delantero', 'Mediocampista']",73,Left,3,61,80,60,62,69,74,65,48,64,72,94,93,92,75,91,74,67,71,41,71,66,34,75,57,64,75,45,48,53,9,7,11,9.0,9.0
Oscar Exequiel Zeballos,170,68,"['Delantero', 'Mediocampista']",73,Right,3,69,60,34,65,52,78,64,66,57,74,86,84,90,72,83,69,52,68,43,64,40,28,69,70,64,75,27,36,34,5,11,11,6.0,8.0
Edwuin Steven Cetré Angulo,171,79,"['Delantero', 'Mediocampista']",73,Right,3,67,79,52,67,70,74,64,65,61,71,83,88,88,55,83,80,72,83,67,73,41,31,73,64,74,64,38,29,28,8,11,5,10.0,10.0
Morgan Guilavogui,189,82,"['Delantero', 'Mediocampista']",73,Right,2,65,73,70,69,67,71,62,54,59,73,78,82,84,73,35,69,81,69,74,65,59,28,75,71,61,73,23,33,21,10,7,10,8.0,5.0
Vágner Joshua Corraldo Santoso,175,70,"['Mediocampista', 'Defensor']",73,Left,3,71,48,59,67,64,66,58,60,51,69,74,71,79,71,77,75,67,76,56,68,64,73,63,59,55,69,71,73,72,14,11,11,11.0,11.0
Oleksandr Zubkov,182,71,"['Delantero', 'Mediocampista']",73,Left,4,69,74,55,66,52,79,71,67,62,74,78,87,59,70,64,78,72,66,65,69,30,24,70,66,55,54,13,16,12,11,9,10,9.0,5.0
Matteo Ruggeri,187,79,"['Mediocampista', 'Defensor']",72,Left,3,74,43,65,71,53,68,69,50,63,71,64,69,54,72,57,69,71,71,70,40,70,69,71,59,35,57,70,71,69,11,12,11,14.0,8.0
Cedric Teuchert,182,80,"['Delantero', 'Mediocampista']",72,Right,3,62,76,67,68,65,77,63,45,60,74,76,72,78,70,75,71,76,68,66,70,51,40,73,49,77,62,35,27,20,8,13,16,11.0,8.0
Hugo Siquet,180,70,"['Defensor', 'Mediocampista']",72,Right,4,81,51,62,70,47,68,79,73,74,72,75,73,74,66,75,73,72,75,61,67,68,65,67,72,50,66,63,68,66,11,9,9,9.0,12.0
Jan Sýkora,171,64,"['Defensor', 'Mediocampista']",72,Left,3,70,65,53,71,64,73,69,70,64,70,79,78,84,69,81,74,67,75,57,70,78,63,70,71,65,70,59,67,66,6,7,10,9.0,13.0
Damián Iván Batallini,176,77,"['Delantero', 'Mediocampista']",72,Right,3,70,69,66,70,69,75,65,51,69,72,80,75,78,68,79,76,80,70,72,70,78,50,70,62,57,73,55,65,49,14,6,7,10.0,6.0
Arkadiusz Reca,187,81,"['Mediocampista', 'Defensor']",72,Left,3,73,56,56,68,48,74,57,45,63,72,78,74,58,74,52,57,73,72,67,54,58,72,71,71,62,67,69,68,67,8,12,13,10.0,10.0
Márton Dárdai,188,77,"['Defensor', 'Mediocampista']",72,Left,3,63,25,69,68,35,60,44,38,76,62,66,61,65,69,65,58,75,68,74,34,68,75,31,69,36,69,72,74,73,15,11,11,8.0,14.0
Kenan Karaman,189,84,"['Delantero', 'Mediocampista']",72,Right,3,67,73,72,71,68,76,47,46,64,74,75,82,74,68,68,72,82,71,72,65,61,22,71,68,66,64,24,24,18,6,12,13,8.0,15.0
Tajon Buchanan,183,69,"['Mediocampista', 'Defensor']",72,Right,3,64,63,68,68,50,74,49,41,59,72,93,90,79,70,69,75,82,76,66,58,78,65,64,68,55,66,65,64,62,13,9,7,8.0,7.0
Filip Mladenović,180,64,"['Delantero', 'Defensor']",72,Left,3,74,67,58,69,59,66,73,68,66,69,85,85,82,64,71,69,66,84,47,68,64,66,63,65,62,66,63,66,63,15,8,13,11.0,14.0
Gabriel Alonso Suazo Urbina,178,72,"['Mediocampista', 'Defensor']",72,Left,2,70,60,53,71,38,70,53,67,66,73,72,73,73,68,64,67,71,81,72,50,77,67,65,64,59,70,68,69,71,14,7,11,12.0,9.0
Alexander Ernesto Aravena Guzmán,175,70,"['Delantero', 'Mediocampista']",72,Right,3,58,74,64,68,59,73,55,46,61,75,86,79,82,69,71,70,79,76,67,62,51,31,73,68,65,66,20,13,14,8,8,14,7.0,7.0
Luis Henrique Barros Lopes,178,75,"['Delantero', 'Mediocampista']",72,Right,3,51,70,70,67,62,73,68,72,52,70,84,87,83,71,88,79,84,68,73,60,51,22,70,60,64,69,24,21,23,8,8,12,6.0,6.0
Yunus Akgün,173,65,"['Delantero', 'Mediocampista']",72,Left,3,59,62,53,68,58,78,69,59,61,73,91,88,88,65,88,73,61,72,54,67,52,30,65,64,67,62,32,24,22,6,9,8,7.0,7.0
Emanuel Vignato,175,67,"['Delantero', 'Mediocampista']",72,Right,4,69,61,51,75,69,77,72,61,73,78,75,68,78,67,75,61,59,69,49,70,39,30,63,73,55,66,43,37,35,9,12,15,14.0,6.0
Manuel Javier Vallejo Galván,167,72,"['Delantero', 'Mediocampista']",72,Right,4,69,71,68,71,66,72,70,75,57,71,73,74,76,74,80,77,74,73,64,72,41,25,76,68,74,70,41,47,45,7,14,8,11.0,10.0
Grigoris Kastanos,179,71,"['Delantero', 'Mediocampista']",72,Left,3,67,66,51,76,69,78,69,70,73,78,77,79,68,62,77,72,70,69,68,76,59,50,67,70,69,70,45,58,52,8,6,7,8.0,7.0
Jackson Tchatchoua,186,76,"['Mediocampista', 'Defensor']",72,Right,3,70,56,56,64,44,73,58,42,54,69,86,91,75,65,75,67,82,86,78,48,75,64,58,54,55,59,64,65,64,8,13,10,12.0,6.0
Steven Skrzybski,174,70,"['Delantero', 'Mediocampista']",72,Right,3,64,74,56,68,78,72,68,59,55,73,77,79,76,71,76,77,69,83,58,71,64,37,75,68,62,65,33,37,28,11,15,10,9.0,11.0
Giuseppe Pezzella,187,81,"['Mediocampista', 'Defensor']",72,Left,3,74,49,65,71,39,71,70,44,63,68,71,72,63,73,62,73,74,74,70,59,74,66,69,56,45,60,66,72,67,11,14,6,7.0,13.0
Luca Daniel Langoni,173,66,"['Delantero', 'Mediocampista']",72,Right,2,65,72,44,67,51,72,70,56,52,69,88,90,89,71,82,66,65,84,58,64,62,22,74,60,61,62,45,29,33,13,9,11,8.0,7.0
Francis Apelete Amuzu,170,65,"['Delantero', 'Mediocampista']",72,Right,5,62,62,42,68,61,74,63,64,64,72,91,90,93,68,86,70,62,73,54,67,51,28,68,62,58,62,33,41,46,10,13,10,12.0,12.0
Lennard Maloney,188,89,"['Defensor', 'Mediocampista']",72,Right,3,48,42,67,67,39,59,44,42,63,60,55,63,56,69,61,49,76,90,84,45,84,74,40,45,46,67,72,75,74,10,8,11,11.0,14.0
Liam Alan Millar,181,75,"['Defensor', 'Mediocampista']",72,Right,3,67,65,54,64,55,77,68,56,55,73,87,84,82,66,79,66,71,68,59,65,53,53,69,65,56,65,49,54,51,14,9,13,7.0,8.0
Antônio Felipe Macedo Calegari,175,75,"['Delantero', 'Mediocampista']",72,Right,3,28,76,79,81,68,64,38,42,77,69,64,67,57,72,55,70,79,76,68,55,71,22,77,60,64,61,19,17,20,10,9,14,15.0,6.0
정우영 Woo-Yeong Jeong,179,71,"['Delantero', 'Mediocampista']",72,Right,4,68,66,61,73,58,78,50,40,59,77,78,76,87,69,84,59,69,85,54,56,55,30,71,71,50,63,34,32,36,12,6,9,7.0,7.0
Niko Gießelmann,182,75,"['Mediocampista', 'Defensor']",72,Left,2,75,55,67,71,56,67,67,69,71,68,66,59,67,72,67,68,75,76,74,62,73,69,65,62,54,71,68,73,71,10,13,10,14.0,7.0
Michal Tomič,181,77,"['Mediocampista', 'Defensor']",72,Right,4,73,59,58,70,58,71,62,62,66,73,75,77,72,72,66,71,70,76,62,74,68,67,66,66,44,68,63,66,68,9,6,14,15.0,14.0
José Antonio Ferrández Pomares,175,68,"['Mediocampista', 'Defensor']",72,Right,3,68,73,65,74,59,75,66,55,62,72,81,82,78,70,78,70,63,65,37,56,53,66,70,59,64,62,61,72,68,7,11,6,12.0,12.0
Elliott Anderson,179,71,"['Delantero', 'Mediocampista']",72,Right,4,62,66,70,76,59,77,65,49,68,76,77,70,80,70,83,68,82,73,75,64,76,64,68,77,60,76,59,66,58,6,12,5,10.0,7.0
Miler Alejandro Bolaños Reascos,172,63,"['Delantero', 'Mediocampista']",72,Right,4,61,74,49,70,67,77,69,60,63,76,85,80,81,74,82,74,69,69,61,68,59,23,75,71,67,60,21,25,24,15,15,9,6.0,9.0
Ricard Sánchez Sendra,175,68,"['Mediocampista', 'Defensor']",72,Right,3,72,60,65,70,28,67,66,68,58,74,80,82,69,64,74,63,70,75,51,61,55,66,45,32,44,62,67,65,69,11,9,7,6.0,11.0
James Hoban Sands,186,73,"['Defensor', 'Mediocampista']",72,Right,3,46,55,67,73,38,65,38,40,69,71,48,54,58,72,66,53,74,74,70,40,74,71,49,65,37,60,68,70,68,10,7,7,12.0,5.0
Yairo Yesid Moreno Berrío,182,82,"['Mediocampista', 'Defensor']",72,Left,3,70,54,57,70,35,82,74,49,58,78,80,80,84,64,74,69,75,74,70,53,72,67,58,64,64,76,64,72,70,9,9,14,7.0,13.0
Alam Cristian Araújo Martins,178,78,"['Mediocampista', 'Defensor']",72,Left,3,71,55,69,71,44,71,61,66,71,62,71,75,70,61,68,51,78,70,72,44,55,64,55,41,50,63,77,73,73,12,8,11,10.0,11.0
相馬 勇紀 Yuki Soma,166,68,"['Delantero', 'Mediocampista']",72,Right,3,69,65,51,66,54,74,65,66,59,70,91,88,82,65,86,60,78,64,56,60,72,38,70,65,64,66,51,60,59,8,6,11,7.0,5.0
M'Baye Babacar Niang,184,75,"['Delantero', 'Mediocampista']",72,Right,4,64,70,66,66,71,71,70,64,57,71,69,76,72,65,65,83,72,54,82,71,52,30,74,67,73,70,30,24,20,4,6,4,4.0,4.0
Rômulo Jose Pacheco da Silva,169,74,"['Delantero', 'Mediocampista']",72,Left,2,63,68,51,75,57,71,66,73,70,72,77,83,82,65,81,73,68,86,62,71,64,45,70,72,61,53,50,59,56,6,11,10,15.0,11.0
Rémi Oudin,185,79,"['Delantero', 'Mediocampista']",72,Left,3,72,68,66,73,69,73,80,69,68,75,67,68,75,74,67,73,72,75,69,73,42,26,74,72,68,74,37,27,23,8,13,11,13.0,6.0
Stuart Dallas,180,79,"['Defensor', 'Mediocampista']",72,Right,4,66,69,63,75,59,73,57,50,71,74,61,62,70,73,69,70,71,68,71,72,68,72,70,71,57,74,72,74,73,13,7,11,13.0,7.0
Darlin Zidane Yongwa Ngameni,174,65,"['Mediocampista', 'Defensor']",72,Left,3,64,41,48,67,39,64,42,37,57,67,81,88,86,66,84,35,70,82,69,40,66,65,57,57,41,63,66,68,69,7,11,12,14.0,13.0
Ehsan Hajsafi,178,81,"['Mediocampista', 'Defensor']",72,Left,3,75,56,67,71,54,69,71,73,71,73,70,71,70,72,81,76,78,75,76,73,71,65,68,70,62,72,70,70,67,10,8,12,13.0,12.0
José Antonio Morente Oliva,184,78,"['Defensor', 'Mediocampista']",72,Right,3,72,70,59,77,67,75,75,69,70,71,79,77,79,61,55,74,74,71,66,68,60,48,62,64,65,61,51,35,31,13,9,7,11.0,10.0
Daniel Raba Antolín,184,76,"['Delantero', 'Mediocampista']",72,Left,3,74,75,52,71,52,74,69,70,75,75,67,57,68,65,54,71,65,55,68,68,50,40,77,72,67,65,38,36,38,12,11,15,12.0,14.0
Fabio Depaoli,182,71,"['Mediocampista', 'Defensor']",72,Right,3,73,55,65,72,48,75,73,44,68,73,72,70,69,73,72,59,67,68,53,51,64,67,69,66,65,65,66,72,71,8,10,5,6.0,13.0
Frank Magri,178,75,"['Delantero', 'Mediocampista']",72,Right,3,52,73,68,70,69,73,59,55,46,75,78,77,73,65,74,73,78,73,69,69,34,14,70,58,68,66,15,19,16,15,6,14,10.0,8.0
